ZipCode,Time,Value
60640,2012-07-01,545300.0
60647,2012-07-01,277700.0
60618,2012-07-01,305800.0
60613,2012-07-01,749700.0
60629,2012-07-01,107000.0
60625,2012-07-01,323300.0
60619,2012-07-01,109500.0
60610,2012-07-01,785600.0
60620,2012-07-01,101200.0
60634,2012-07-01,172100.0
60626,2012-07-01,291900.0
60649,2012-07-01,134200.0
60616,2012-07-01,266500.0
60622,2012-07-01,529100.0
60615,2012-07-01,367800.0
60641,2012-07-01,176900.0
60660,2012-07-01,387100.0
60608,2012-07-01,172000.0
60657,2012-08-01,771800.0
60614,2012-08-01,984500.0
60640,2012-08-01,546500.0
60647,2012-08-01,281400.0
60618,2012-08-01,310600.0
60613,2012-08-01,756200.0
60629,2012-08-01,108100.0
60625,2012-08-01,323400.0
60619,2012-08-01,111900.0
60610,2012-08-01,786600.0
60620,2012-08-01,99900.0
60634,2012-08-01,172100.0
60626,2012-08-01,300900.0
60649,2012-08-01,136700.0
60616,2012-08-01,271300.0
60622,2012-08-01,531200.0
60615,2012-08-01,370400.0
60641,2012-08-01,177200.0
60660,2012-08-01,387800.0
60608,2012-08-01,171800.0
60657,2012-09-01,780600.0
60614,2012-09-01,994100.0
60640,2012-09-01,552300.0
60647,2012-09-01,285600.0
60618,2012-09-01,315800.0
60613,2012-09-01,762400.0
60629,2012-09-01,109700.0
60625,2012-09-01,325100.0
60619,2012-09-01,114000.0
60610,2012-09-01,794400.0
60620,2012-09-01,99600.0
60634,2012-09-01,171600.0
60626,2012-09-01,309700.0
60649,2012-09-01,139700.0
60616,2012-09-01,276400.0
60622,2012-09-01,533700.0
60615,2012-09-01,372300.0
60641,2012-09-01,177300.0
60660,2012-09-01,392400.0
60608,2012-09-01,171100.0
60657,2012-10-01,787900.0
60614,2012-10-01,1001400.0
60640,2012-10-01,555400.0
60647,2012-10-01,288700.0
60618,2012-10-01,319800.0
60613,2012-10-01,767800.0
60629,2012-10-01,110900.0
60625,2012-10-01,326500.0
60619,2012-10-01,114500.0
60610,2012-10-01,803500.0
60620,2012-10-01,99800.0
60634,2012-10-01,171700.0
60626,2012-10-01,314300.0
60649,2012-10-01,143000.0
